DesignName,ParticipantID,TrialID,Block1,Block2,Block3,C,R,S
Experiment 3: Inner,1,1,1,1,1,Line,R_0_1,S_0_8
Experiment 3: Inner,1,2,1,1,2,Line,R_0_1,S_0_1
Experiment 3: Inner,1,3,1,1,3,Line,R_0_1,S_0_2
Experiment 3: Inner,1,4,1,1,4,Line,R_0_1,S_0_1
Experiment 3: Inner,1,5,1,1,5,Line,R_0_1,S_0_2
Experiment 3: Inner,1,6,1,1,6,Line,R_0_1,S_0_4
Experiment 3: Inner,1,7,1,1,7,Line,R_0_1,S_0_8
Experiment 3: Inner,1,8,1,1,8,Line,R_0_1,S_0_4
Experiment 3: Inner,1,9,1,2,1,Line,R_0_2,S_0_8
Experiment 3: Inner,1,10,1,2,2,Line,R_0_2,S_0_1
Experiment 3: Inner,1,11,1,2,3,Line,R_0_2,S_0_2
Experiment 3: Inner,1,12,1,2,4,Line,R_0_2,S_0_1
Experiment 3: Inner,1,13,1,2,5,Line,R_0_2,S_0_2
Experiment 3: Inner,1,14,1,2,6,Line,R_0_2,S_0_4
Experiment 3: Inner,1,15,1,2,7,Line,R_0_2,S_0_8
Experiment 3: Inner,1,16,1,2,8,Line,R_0_2,S_0_4
Experiment 3: Inner,1,17,1,3,1,Line,R_0_15,S_0_8
Experiment 3: Inner,1,18,1,3,2,Line,R_0_15,S_0_1
Experiment 3: Inner,1,19,1,3,3,Line,R_0_15,S_0_2
Experiment 3: Inner,1,20,1,3,4,Line,R_0_15,S_0_1
Experiment 3: Inner,1,21,1,3,5,Line,R_0_15,S_0_2
Experiment 3: Inner,1,22,1,3,6,Line,R_0_15,S_0_4
Experiment 3: Inner,1,23,1,3,7,Line,R_0_15,S_0_8
Experiment 3: Inner,1,24,1,3,8,Line,R_0_15,S_0_4
Experiment 3: Inner,1,25,1,4,1,Line,R_0_05,S_0_8
Experiment 3: Inner,1,26,1,4,2,Line,R_0_05,S_0_1
Experiment 3: Inner,1,27,1,4,3,Line,R_0_05,S_0_2
Experiment 3: Inner,1,28,1,4,4,Line,R_0_05,S_0_1
Experiment 3: Inner,1,29,1,4,5,Line,R_0_05,S_0_2
Experiment 3: Inner,1,30,1,4,6,Line,R_0_05,S_0_4
Experiment 3: Inner,1,31,1,4,7,Line,R_0_05,S_0_8
Experiment 3: Inner,1,32,1,4,8,Line,R_0_05,S_0_4
Experiment 3: Inner,1,33,2,1,1,Scatter,R_0_1,S_0_8
Experiment 3: Inner,1,34,2,1,2,Scatter,R_0_1,S_0_1
Experiment 3: Inner,1,35,2,1,3,Scatter,R_0_1,S_0_2
Experiment 3: Inner,1,36,2,1,4,Scatter,R_0_1,S_0_1
Experiment 3: Inner,1,37,2,1,5,Scatter,R_0_1,S_0_2
Experiment 3: Inner,1,38,2,1,6,Scatter,R_0_1,S_0_4
Experiment 3: Inner,1,39,2,1,7,Scatter,R_0_1,S_0_8
Experiment 3: Inner,1,40,2,1,8,Scatter,R_0_1,S_0_4
Experiment 3: Inner,1,41,2,2,1,Scatter,R_0_2,S_0_8
Experiment 3: Inner,1,42,2,2,2,Scatter,R_0_2,S_0_1
Experiment 3: Inner,1,43,2,2,3,Scatter,R_0_2,S_0_2
Experiment 3: Inner,1,44,2,2,4,Scatter,R_0_2,S_0_1
Experiment 3: Inner,1,45,2,2,5,Scatter,R_0_2,S_0_2
Experiment 3: Inner,1,46,2,2,6,Scatter,R_0_2,S_0_4
Experiment 3: Inner,1,47,2,2,7,Scatter,R_0_2,S_0_8
Experiment 3: Inner,1,48,2,2,8,Scatter,R_0_2,S_0_4
Experiment 3: Inner,1,49,2,3,1,Scatter,R_0_15,S_0_8
Experiment 3: Inner,1,50,2,3,2,Scatter,R_0_15,S_0_1
Experiment 3: Inner,1,51,2,3,3,Scatter,R_0_15,S_0_2
Experiment 3: Inner,1,52,2,3,4,Scatter,R_0_15,S_0_1
Experiment 3: Inner,1,53,2,3,5,Scatter,R_0_15,S_0_2
Experiment 3: Inner,1,54,2,3,6,Scatter,R_0_15,S_0_4
Experiment 3: Inner,1,55,2,3,7,Scatter,R_0_15,S_0_8
Experiment 3: Inner,1,56,2,3,8,Scatter,R_0_15,S_0_4
Experiment 3: Inner,1,57,2,4,1,Scatter,R_0_05,S_0_8
Experiment 3: Inner,1,58,2,4,2,Scatter,R_0_05,S_0_1
Experiment 3: Inner,1,59,2,4,3,Scatter,R_0_05,S_0_2
Experiment 3: Inner,1,60,2,4,4,Scatter,R_0_05,S_0_1
Experiment 3: Inner,1,61,2,4,5,Scatter,R_0_05,S_0_2
Experiment 3: Inner,1,62,2,4,6,Scatter,R_0_05,S_0_4
Experiment 3: Inner,1,63,2,4,7,Scatter,R_0_05,S_0_8
Experiment 3: Inner,1,64,2,4,8,Scatter,R_0_05,S_0_4
Experiment 3: Inner,1,65,3,1,1,Area,R_0_1,S_0_8
Experiment 3: Inner,1,66,3,1,2,Area,R_0_1,S_0_1
Experiment 3: Inner,1,67,3,1,3,Area,R_0_1,S_0_2
Experiment 3: Inner,1,68,3,1,4,Area,R_0_1,S_0_1
Experiment 3: Inner,1,69,3,1,5,Area,R_0_1,S_0_2
Experiment 3: Inner,1,70,3,1,6,Area,R_0_1,S_0_4
Experiment 3: Inner,1,71,3,1,7,Area,R_0_1,S_0_8
Experiment 3: Inner,1,72,3,1,8,Area,R_0_1,S_0_4
Experiment 3: Inner,1,73,3,2,1,Area,R_0_2,S_0_8
Experiment 3: Inner,1,74,3,2,2,Area,R_0_2,S_0_1
Experiment 3: Inner,1,75,3,2,3,Area,R_0_2,S_0_2
Experiment 3: Inner,1,76,3,2,4,Area,R_0_2,S_0_1
Experiment 3: Inner,1,77,3,2,5,Area,R_0_2,S_0_2
Experiment 3: Inner,1,78,3,2,6,Area,R_0_2,S_0_4
